2026-06-01 00:42:44,647 | INFO | __main__ | Writing run logs to act_edit/output/general/act_separation.log
2026-06-01 00:43:41,542 | INFO | __main__ | Writing run logs to act_edit/output/general/act_separation.log
2026-06-01 00:43:41,542 | INFO | __main__ | Loading model: Qwen/Qwen3-1.7B
2026-06-01 00:43:55,185 | INFO | __main__ | Model has 28 transformer layers
2026-06-01 00:43:55,185 | INFO | __main__ | Hidden size: 2048
2026-06-01 00:43:55,187 | INFO | __main__ | Extracting activations...
2026-06-01 00:44:03,398 | INFO | __main__ | Activation tensor shape: (16, 29, 2048)
2026-06-01 00:44:03,398 | INFO | __main__ | Running linear probe: 16 examples, 29 layers, hidden_size=2048
2026-06-01 00:44:03,486 | INFO | __main__ | Layer  0: accuracy = 0.367
2026-06-01 00:44:03,516 | INFO | __main__ | Layer  1: accuracy = 0.550
2026-06-01 00:44:03,544 | INFO | __main__ | Layer  2: accuracy = 0.417
2026-06-01 00:44:03,577 | INFO | __main__ | Layer  3: accuracy = 0.367
2026-06-01 00:44:03,609 | INFO | __main__ | Layer  4: accuracy = 0.367
2026-06-01 00:44:03,641 | INFO | __main__ | Layer  5: accuracy = 0.350
2026-06-01 00:44:03,673 | INFO | __main__ | Layer  6: accuracy = 0.433
2026-06-01 00:44:03,704 | INFO | __main__ | Layer  7: accuracy = 0.433
2026-06-01 00:44:03,735 | INFO | __main__ | Layer  8: accuracy = 0.433
2026-06-01 00:44:03,767 | INFO | __main__ | Layer  9: accuracy = 0.367
2026-06-01 00:44:03,799 | INFO | __main__ | Layer 10: accuracy = 0.367
2026-06-01 00:44:03,828 | INFO | __main__ | Layer 11: accuracy = 0.500
2026-06-01 00:44:03,860 | INFO | __main__ | Layer 12: accuracy = 0.450
2026-06-01 00:44:03,890 | INFO | __main__ | Layer 13: accuracy = 0.567
2026-06-01 00:44:03,918 | INFO | __main__ | Layer 14: accuracy = 0.567
2026-06-01 00:44:03,942 | INFO | __main__ | Layer 15: accuracy = 0.800
2026-06-01 00:44:03,972 | INFO | __main__ | Layer 16: accuracy = 0.867
2026-06-01 00:44:04,001 | INFO | __main__ | Layer 17: accuracy = 0.800
2026-06-01 00:44:04,062 | INFO | __main__ | Layer 18: accuracy = 0.800
2026-06-01 00:44:04,094 | INFO | __main__ | Layer 19: accuracy = 0.800
